index,minute,mv
0,0,-15,
1,0.0017,-15,
2,0.0033,-16,
3,0.005,-15,
4,0.0067,-16,
5,0.0083,-15,
6,0.01,-15,
7,0.0117,-16,
8,0.0133,-15,
9,0.015,-15,
10,0.0167,-15,
11,0.0183,-16,
12,0.02,-15,
13,0.0217,-16,
14,0.0233,-15,
15,0.025,-15,
16,0.0267,-16,
17,0.0283,-15,
18,0.03,-15,
19,0.0317,-16,
20,0.0333,-15,
21,0.035,-15,
22,0.0367,-15,
23,0.0383,-14,
24,0.04,-15,
25,0.0417,-15,
26,0.0433,-15,
27,0.045,-14,
28,0.0467,-15,
29,0.0483,-15,
30,0.05,-14,
31,0.0517,-15,
32,0.0533,-15,
33,0.055,-15,
34,0.0567,-15,
35,0.0583,-15,
36,0.06,-14,
37,0.0617,-15,
38,0.0633,-15,
39,0.065,-15,
40,0.0667,-15,
41,0.0683,-14,
42,0.07,-15,
43,0.0717,-15,
44,0.0733,-15,
45,0.075,-14,
46,0.0767,-15,
47,0.0783,-14,
48,0.08,-15,
49,0.0817,-15,
50,0.0833,-15,
51,0.085,-14,
52,0.0867,-15,
53,0.0883,-15,
54,0.09,-15,
55,0.0917,-15,
56,0.0933,-15,
57,0.095,-15,
58,0.0967,-15,
59,0.0983,-15,
60,0.1,-14,
61,0.1017,-15,
62,0.1033,-15,
63,0.105,-15,
64,0.1067,-14,
65,0.1083,-15,
66,0.11,-15,
67,0.1117,-15,
68,0.1133,-14,
69,0.115,-15,
70,0.1167,-15,
71,0.1183,-14,
72,0.12,-15,
73,0.1217,-15,
74,0.1233,-15,
75,0.125,-15,
76,0.1267,-15,
77,0.1283,-15,
78,0.13,-14,
79,0.1317,-15,
80,0.1333,-15,
81,0.135,-15,
82,0.1367,-14,
83,0.1383,-15,
84,0.14,-15,
85,0.1417,-15,
86,0.1433,-15,
87,0.145,-15,
88,0.1467,-15,
89,0.1483,-15,
90,0.15,-15,
91,0.1517,-15,
92,0.1533,-15,
93,0.155,-14,
94,0.1567,-15,
95,0.1583,-16,
96,0.16,-15,
97,0.1617,-15,
98,0.1633,-15,
99,0.165,-14,
100,0.1667,-15,
101,0.1683,-15,
102,0.17,-16,
103,0.1717,-15,
104,0.1733,-15,
105,0.175,-15,
106,0.1767,-15,
107,0.1783,-15,
108,0.18,-15,
109,0.1817,-15,
110,0.1833,-16,
111,0.185,-15,
112,0.1867,-16,
113,0.1883,-15,
114,0.19,-16,
115,0.1917,-15,
116,0.1933,-16,
117,0.195,-15,
118,0.1967,-16,
119,0.1983,-14,
120,0.2,-15,
121,0.2017,-14,
122,0.2033,-14,
123,0.205,-14,
124,0.2067,-14,
125,0.2083,-13,
126,0.21,-12,
127,0.2117,-11,
128,0.2133,-10,
129,0.215,-7,
130,0.2167,-4,
131,0.2183,1,
132,0.22,8,
133,0.2217,18,
134,0.2233,32,
135,0.225,50,
136,0.2267,76,
137,0.2283,110,
138,0.23,155,
139,0.2317,215,
140,0.2333,293,
141,0.235,392,
142,0.2367,519,
143,0.2383,675,
144,0.24,867,
145,0.2417,1100,
146,0.2433,1376,
147,0.245,1700,
148,0.2467,2071,
149,0.2483,2491,
150,0.25,2961,
151,0.2517,3474,
152,0.2533,4026,
153,0.255,4611,
154,0.2567,5214,
155,0.2583,5830,
156,0.26,6437,
157,0.2617,7026,
158,0.2633,7588,
159,0.265,8104,
160,0.2667,8559,
161,0.2683,8947,
162,0.27,9254,
163,0.2717,9471,
164,0.2733,9594,
165,0.275,9626,
166,0.2767,9566,
167,0.2783,9417,
168,0.28,9187,
169,0.2817,8878,
170,0.2833,8506,
171,0.285,8078,
172,0.2867,7608,
173,0.2883,7107,
174,0.29,6584,
175,0.2917,6053,
176,0.2933,5522,
177,0.295,5001,
178,0.2967,4497,
179,0.2983,4017,
180,0.3,3563,
181,0.3017,3141,
182,0.3033,2754,
183,0.305,2401,
184,0.3067,2080,
185,0.3083,1795,
186,0.31,1543,
187,0.3117,1320,
188,0.3133,1125,
189,0.315,957,
190,0.3167,811,
191,0.3183,689,
192,0.32,583,
193,0.3217,493,
194,0.3233,417,
195,0.325,353,
196,0.3267,300,
197,0.3283,255,
198,0.33,217,
199,0.3317,186,
200,0.3333,159,
201,0.335,137,
202,0.3367,119,
203,0.3383,104,
204,0.34,91,
205,0.3417,79,
206,0.3433,69,
207,0.345,60,
208,0.3467,54,
209,0.3483,47,
210,0.35,42,
211,0.3517,37,
212,0.3533,33,
213,0.355,30,
214,0.3567,26,
215,0.3583,24,
216,0.36,21,
217,0.3617,19,
218,0.3633,17,
219,0.365,15,
220,0.3667,14,
221,0.3683,12,
222,0.37,11,
223,0.3717,10,
224,0.3733,10,
225,0.375,10,
226,0.3767,11,
227,0.3783,11,
228,0.38,14,
229,0.3817,16,
230,0.3833,19,
231,0.385,26,
232,0.3867,32,
233,0.3883,42,
234,0.39,53,
235,0.3917,70,
236,0.3933,88,
237,0.395,112,
238,0.3967,142,
239,0.3983,176,
240,0.4,219,
241,0.4017,270,
242,0.4033,328,
243,0.405,397,
244,0.4067,476,
245,0.4083,566,
246,0.41,667,
247,0.4117,782,
248,0.4133,906,
249,0.415,1042,
250,0.4167,1190,
251,0.4183,1345,
252,0.42,1512,
253,0.4217,1683,
254,0.4233,1861,
255,0.425,2042,
256,0.4267,2223,
257,0.4283,2403,
258,0.43,2579,
259,0.4317,2748,
260,0.4333,2908,
261,0.435,3056,
262,0.4367,3190,
263,0.4383,3308,
264,0.44,3407,
265,0.4417,3485,
266,0.4433,3545,
267,0.445,3582,
268,0.4467,3599,
269,0.4483,3593,
270,0.45,3566,
271,0.4517,3520,
272,0.4533,3455,
273,0.455,3371,
274,0.4567,3275,
275,0.4583,3161,
276,0.46,3037,
277,0.4617,2903,
278,0.4633,2762,
279,0.465,2617,
280,0.4667,2465,
281,0.4683,2314,
282,0.47,2162,
283,0.4717,2012,
284,0.4733,1865,
285,0.475,1722,
286,0.4767,1584,
287,0.4783,1454,
288,0.48,1329,
289,0.4817,1211,
290,0.4833,1101,
291,0.485,998,
292,0.4867,904,
293,0.4883,816,
294,0.49,737,
295,0.4917,663,
296,0.4933,597,
297,0.495,537,
298,0.4967,482,
299,0.4983,433,
300,0.5,389,
301,0.5017,350,
302,0.5033,315,
303,0.505,282,
304,0.5067,255,
