index,minute,mv
0,0,-5000,
1,0.001666667,-5000,
2,0.003333333,-5000,
3,0.005,-5000,
4,0.006666667,-5000,
5,0.008333334,-5000,
6,0.01,-5000,
7,0.01166667,-5000,
8,0.01333333,-5000,
9,0.015,-5000,
10,0.01666667,-5000,
11,0.01833333,-5000,
12,0.02,-5000,
13,0.02166667,-5000,
14,0.02333333,-5000,
15,0.025,-5000,
16,0.02666667,-5000,
17,0.02833333,-5000,
18,0.03,-5000,
19,0.03166667,-5000,
20,0.03333334,-5000,
21,0.035,-5000,
22,0.03666667,-5000,
23,0.03833333,-5000,
24,0.04,-5000,
25,0.04166667,-5000,
26,0.04333333,-5000,
27,0.045,-5000,
28,0.04666667,-5000,
29,0.04833333,-5000,
30,0.05,-5000,
31,0.05166667,-5000,
32,0.05333333,-5000,
33,0.055,-5000,
34,0.05666667,-5000,
35,0.05833333,-5000,
36,0.06,-5000,
37,0.06166667,-5000,
38,0.06333333,-5000,
39,0.065,-5000,
40,0.06666667,-5000,
41,0.06833334,-5000,
42,0.07,-5000,
43,0.07166667,-5000,
44,0.07333333,-5000,
45,0.075,-5000,
46,0.07666667,-5000,
47,0.07833333,-5000,
48,0.08,-5000,
49,0.08166666,-5000,
50,0.08333334,-5000,
51,0.085,-5000,
52,0.08666667,-5000,
53,0.08833333,-5000,
54,0.09,-5000,
55,0.09166667,-5000,
56,0.09333333,-5000,
57,0.095,-5000,
58,0.09666666,-5000,
59,0.09833334,-5000,
60,0.1,-5000,
61,0.1016667,-5000,
62,0.1033333,-5000,
63,0.105,-5000,
64,0.1066667,-5000,
65,0.1083333,-5000,
66,0.11,-5000,
67,0.1116667,-5000,
68,0.1133333,-5000,
69,0.115,-5000,
70,0.1166667,-5000,
71,0.1183333,-5000,
72,0.12,-5000,
73,0.1216667,-5000,
74,0.1233333,-5000,
75,0.125,-5000,
76,0.1266667,-5000,
77,0.1283333,-5000,
78,0.13,-5000,
79,0.1316667,-5000,
80,0.1333333,-5000,
81,0.135,-5000,
82,0.1366667,-5000,
83,0.1383333,-5000,
84,0.14,-5000,
85,0.1416667,-5000,
86,0.1433333,-5000,
87,0.145,-5000,
88,0.1466667,-5000,
89,0.1483333,-5000,
